K,H,W,C,R,Th,Tw,Tk,Wh,Ww,Wk,Bh,Bw,Bk,Time
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 2, 16, 1, 32, 1, 1, 3, 1, 5.876480 
512, 192, 192, 128, 3, 1, 2, 16, 1, 32, 1, 2, 3, 1, 5.596832 
512, 192, 192, 128, 3, 1, 2, 16, 1, 32, 1, 3, 3, 1, 6.085728 
512, 192, 192, 128, 3, 1, 2, 16, 1, 32, 1, 4, 3, 1, 6.594496 
512, 192, 192, 128, 3, 1, 2, 16, 1, 32, 1, 2, 3, 2, 6.446848 
512, 192, 192, 128, 3, 1, 2, 16, 1, 32, 1, 3, 3, 2, 5.281568 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 2, 32, 1, 16, 2, 1, 6, 1, 8.260288 
512, 192, 192, 128, 3, 1, 2, 32, 1, 16, 2, 2, 6, 1, 8.440736 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 2, 32, 1, 32, 1, 1, 3, 1, 5.219616 
512, 192, 192, 128, 3, 1, 2, 32, 1, 32, 1, 3, 3, 1, 7.416384 
